Date (GMT),Open,High,Low,Last
2017/11/6,26220,26355,26085,26245
2017/11/7,26370,26370,25920,26115
2017/11/8,26015,26015,25680,25815
2017/11/9,25840,25995,25740,25885
2017/11/10,25960,26140,25860,26035
2017/11/13,26200,26260,26045,26185
2017/11/14,26075,26210,25990,26115
2017/11/15,26090,26090,25210,25475
2017/11/16,25220,25290,25015,25160
2017/11/17,25210,25340,24880,25175
2017/11/20,25225,25525,25160,25310
2017/11/21,25340,25435,24955,25220
2017/11/22,25245,25905,25245,25670
2017/11/23,25725,25810,25590,25695
2017/11/24,25745,25745,25500,25590
2017/11/27,25650,25670,25090,25385
2017/11/28,25195,25265,24880,25070
2017/11/29,25025,25135,24785,25015
2017/11/30,24885,25085,24720,24910
2017/12/1,25040,25330,24935,25155
2017/12/4,25355,26050,25355,25685
2017/12/5,25665,25665,25300,25500
2017/12/6,25220,25295,24665,24890
2017/12/7,24905,25080,24650,24900
2017/12/8,24845,24990,24530,24775
2017/12/11,24980,25200,24820,25005
2017/12/12,24965,25325,24905,25175
2017/12/13,25450,25460,25320,25355
2017/12/14,25480,25530,25310,25440
2017/12/15,25490,25650,25455,25525
2017/12/18,25400,25770,25385,25590
2017/12/19,25670,25685,25330,25500
2017/12/20,25370,25675,25355,25525
2017/12/21,25690,25795,25400,25525
2017/12/22,25545,25640,25410,25525
2017/12/25,25600,25960,25310,25645
2017/12/26,25320,25575,25300,25440
2017/12/27,25565,25615,25350,25440
2017/12/28,25500,25770,25420,25565
2017/12/29,25620,25775,25540,25650
2018/1/2,25795,26055,25715,25845
2018/1/3,26000,26000,25755,25875
2018/1/4,25805,25960,25710,25885
2018/1/5,26085,26125,25890,25985
2018/1/8,26045,26070,25880,25950
2018/1/9,26020,26375,25995,26245
2018/1/10,26235,26245,25925,26105
2018/1/11,26080,26200,25995,26070
2018/1/12,26150,26290,26110,26185
2018/1/15,26220,26320,26165,26220
2018/1/16,26325,26360,25945,26155
2018/1/17,25970,26135,25930,26040
2018/1/18,26085,26110,25920,26005
2018/1/19,26000,26120,25890,25990
2018/1/22,26180,26230,26050,26145
2018/1/23,26205,26240,26050,26115
2018/1/24,26100,26210,25840,26045
2018/1/25,25920,27495,25920,26220
2018/1/26,26235,26285,26115,26175
2018/1/29,26260,27195,26190,26875
2018/1/30,26995,27090,26660,26840
2018/1/31,26855,26895,26485,26670
2018/2/1,26690,26780,26600,26680
2018/2/2,26630,26900,26585,26770
2018/2/5,26725,26775,26550,26675
2018/2/6,26700,26875,26335,26520
2018/2/7,26450,26570,26350,26505
2018/2/8,26280,26280,26080,26135
2018/2/9,26300,26355,26000,26165
2018/2/12,26110,26150,25815,25985
2018/2/13,25975,26240,25865,26010
2018/2/14,26260,26700,26185,26455
2018/2/22,26905,26990,26150,26405
2018/2/23,26315,26665,26315,26540
2018/2/26,26515,26705,26335,26555
2018/2/27,26675,26735,26565,26645
2018/2/28,26585,26585,26270,26380
2018/3/1,26345,26445,26215,26340
2018/3/2,26050,26265,26025,26170
2018/3/5,26155,26185,25585,25905
2018/3/6,25485,25500,25180,25350
2018/3/7,25510,25540,25300,25415
2018/3/8,25235,25400,25100,25265
2018/3/9,25130,25175,24520,24830
2018/3/12,24780,25245,24780,25010
2018/3/13,25000,25105,24885,25015
2018/3/14,25050,25180,25000,25085
2018/3/15,25030,25030,24700,24785
2018/3/16,24855,24985,24690,24870
2018/3/19,25035,25095,24765,24925
2018/3/20,24870,24975,24620,24805
2018/3/21,24835,24835,24310,24470
2018/3/22,24565,25030,24500,24785
2018/3/23,24730,24850,24280,24615
2018/3/26,24690,24805,24330,24590
2018/3/27,24710,25065,24605,24945
2018/3/28,24960,25045,24765,24870
2018/3/29,24870,24995,24675,24845
2018/3/30,24925,25050,24720,24920
2018/4/2,25080,25235,24975,25055
2018/4/3,25020,25060,24775,24935
2018/4/4,24865,24875,24630,24735
2018/4/9,24855,24930,24410,24510
2018/4/10,24515,24700,24420,24585
2018/4/11,24645,24775,24525,24660
2018/4/12,24590,24590,23695,24095
2018/4/13,23800,23820,23510,23745
2018/4/16,23540,24315,23500,23740
2018/4/17,23860,23950,23670,23825
2018/4/18,23770,24135,23750,23965
2018/4/19,24295,24980,24295,24640
2018/4/20,24320,24565,24295,24450
2018/4/23,24575,24690,24380,24565
2018/4/24,24375,24680,24230,24540
2018/4/25,24615,24665,24260,24505
2018/4/26,24200,24300,23770,23935
2018/4/27,23740,24115,23740,23995
2018/5/2,23890,24130,23735,23915
2018/5/3,23890,23930,23700,23810
2018/5/4,23740,23740,23295,23420
2018/5/7,23295,23970,23250,23800
2018/5/8,23970,24070,23880,23960
2018/5/9,23820,23975,23705,23865
2018/5/10,23895,23990,23815,23910
2018/5/11,23830,23890,23780,23835
2018/5/14,23885,23885,23650,23735
2018/5/15,23780,23900,23760,23860
2018/5/16,23800,24050,23730,23890
2018/5/17,23825,24000,23640,23845
2018/5/18,23660,23930,23660,23815
2018/5/21,23885,24175,23775,24030
2018/5/22,24095,24170,23720,23935
2018/5/23,23790,23860,23655,23760
2018/5/24,23730,23745,23540,23630
2018/5/25,23620,23910,23580,23760
2018/5/28,23910,24075,23750,23985
2018/5/29,24095,24320,24020,24180
2018/5/30,24270,24365,24080,24215
2018/5/31,24340,24590,24250,24480
2018/6/1,24375,24500,24330,24405
2018/6/4,24425,24500,24205,24345
2018/6/5,24335,24560,24220,24410
